# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	41606
#@/user_id	fred-mbp
a 	啊	c=754 d=2.64207 t=41606
a a 	啊啊	c=1 d=1.09638e-53 t=41606
a bu dui 	啊不對	c=1 d=0.0131675 t=41606
a da 	啊噠	c=1 d=1.74669e-32 t=41606
a dui le 	啊對了	c=1 d=1.19905e-18 t=41606
a ha 	啊哈	c=5 d=1.15702e-10 t=41606
a ha ha ha 	啊哈哈哈	c=1 d=1.08806e-81 t=41606
a li 	阿里	c=2 d=9.46225e-59 t=41606
a ni 	啊你	c=2 d=6.33564e-14 t=41606
a pei 	啊呸	c=7 d=0.0122773 t=41606
a shi 	啊是	c=1 d=3.80388e-12 t=41606
a wo 	啊我	c=1 d=2.96146e-08 t=41606
a wu 	啊嗚	c=1 d=1.99943e-63 t=41606
a you shen me 	啊有什麼	c=1 d=7.73837e-14 t=41606
ai 	唉	c=5 d=1.76947e-08 t=41606
ai 	愛	c=0 d=8.97455e-82 t=41606
ai da 	挨打	c=1 d=2.57807e-24 t=41606
ai diao 	哀弔	c=1 d=2.54402e-44 t=41606
ai kan 	愛看	c=1 d=3.72526e-31 t=41606
ai le 	愛了	c=1 d=1.6615e-32 t=41606
ai ni 	愛你	c=4 d=0.673889 t=41606
ai ni bao bei 	愛你寶貝	c=1 d=0.615697 t=41606
ai ni o 	愛你哦	c=1 d=1.493e-68 t=41606
ai o 	唉哦	c=2 d=3.06059e-13 t=41606
ai po 	唉破	c=1 d=1.06274e-10 t=41606
ai qi yi 	愛奇藝	c=2 d=0.68091 t=41606
ai xia dian zi shu 	愛下電子書	c=1 d=9.01953e-81 t=41606
ai xin 	愛心	c=1 d=4.56401e-67 t=41606
air pods 	AirPods	c=0 d=1.65981e-21 t=41606
air pods pro 	AirPodsPro	c=1 d=1.66813e-20 t=41606
amd 	AMD	c=1 d=1.16822e-35 t=41606
an 	按	c=2 d=6.95616e-26 t=41606
an an 	安安	c=1 d=0.913931 t=41606
an chun dan 	鵪鶉蛋	c=1 d=5.2077e-31 t=41606
an dan 	黯淡	c=0 d=0.0331211 t=41606
an dan le xia lai 	黯淡了下來	c=1 d=0.332871 t=41606
an dao 	按到	c=1 d=5.22312e-08 t=41606
an dao 	暗道	c=0 d=1.80418e-61 t=41606
an dao le 	按到了	c=1 d=5.2493e-07 t=41606
an dong ni 	安東尼	c=1 d=1.51319e-79 t=41606
an duan 	按段	c=1 d=0.321422 t=41606
an duan ou da 	按段毆打	c=1 d=2.40903e-79 t=41606
an jian 	按鍵	c=4 d=0.00562801 t=41606
an jin qu 	按進去	c=1 d=6.99103e-25 t=41606
an ni 	安妮	c=1 d=2.76689e-32 t=41606
an niu 	按鈕	c=3 d=4.82566e-17 t=41606
an pai 	安排	c=2 d=6.54305e-40 t=41606
an quan 	安全	c=6 d=2.67811e-17 t=41606
an quan gan 	安全感	c=1 d=1.10288e-05 t=41606
an quan mao 	安全帽	c=1 d=3.45491e-27 t=41606
an quan xing 	安全性	c=4 d=0.0010701 t=41606
an shun xu 	按順序	c=1 d=0.67032 t=41606
an zai 	按在	c=1 d=8.91489e-32 t=41606
an zhao 	按照	c=4 d=2.4873e-33 t=41606
an zhe 	按着	c=1 d=2.2428e-32 t=41606
